"folioviv","foliohog","ubica_geo","tam_loc","clase_hog","sexo_jefe","edad_jefe","educa_jefe","tot_integ","mayores","p12_64","ocupados","percep_ing","perc_ocupa","ing_cor","ingtrab","trabajo","sueldos"
102338017,1,1007,3,2,1,47,6,5,4,4,3,5,3,50808.74,44960.96,31265.31,28892.92
102338018,1,1007,3,3,1,41,8,5,4,4,4,4,4,43475.07,38005.41,6994.55,6994.55
102338407,1,1007,3,3,2,63,6,4,4,4,1,1,1,20267.34,17364.12,17364.12,13206.52
102338408,1,1007,3,1,2,89,4,1,1,0,0,1,0,24436.55,0,0,0
102338409,1,1007,3,2,1,47,8,5,4,4,1,3,1,24253.74,20176.62,20176.62,19809.78
102338410,1,1007,3,2,1,29,4,2,2,2,2,2,2,37697.74,31891.29,31891.29,31157.6
102338411,1,1007,3,4,1,72,3,11,8,6,3,7,3,44023.24,27733.66,27733.66,25239.11
102338412,1,1007,3,3,1,45,3,4,3,3,3,3,3,44430.36,41527.14,34483.67,33016.29
102338620,1,1007,3,2,1,47,6,5,5,5,4,4,4,72012.22,59005.09,59005.09,46298.34
102338621,1,1007,3,2,2,46,6,2,2,2,1,2,1,24871.31,21009.82,20163.92,17704.91
102338622,1,1007,3,4,1,70,4,7,4,2,2,7,2,176313.67,161637.59,161637.59,27295.07
102338623,1,1007,3,2,1,56,6,3,3,3,3,3,3,28354.4,22969.16,20114.74,16426.22
102338624,1,1007,3,2,2,40,6,3,1,1,1,1,1,26351.49,1819.66,0,0
102338801,1,1007,3,2,1,45,6,5,4,4,3,3,3,131473.38,122316.86,122316.86,50754.08
102338802,1,1007,3,1,1,49,1,1,1,1,1,1,1,10856.85,442.62,442.62,442.62
102338803,1,1007,3,2,1,48,6,4,4,4,3,3,3,56619.75,53619.75,53619.75,36442.6
102338804,1,1007,3,2,1,26,8,3,2,2,2,2,2,37780.3,34180.3,34180.3,32262.28
102338805,1,1007,3,2,1,30,6,5,2,2,1,1,1,29686.69,20085.78,20085.78,18885.23
102338806,1,1007,3,4,1,73,1,7,6,4,3,5,3,54497.49,42196.71,42196.71,41311.47
102343208,1,1008,3,2,2,51,8,2,2,2,1,2,1,19229.65,14320.44,14320.44,14320.44
102343209,1,1008,3,3,1,59,5,6,5,5,5,6,5,97424.82,78351.76,78351.76,72099.42
102343212,1,1008,3,2,1,28,8,4,2,2,2,2,2,35596.08,30505.09,25801.23,19296.79
102343212,2,1008,3,2,1,24,6,4,2,2,1,2,1,25678.75,23618.78,23618.78,23618.78
102343319,1,1008,3,2,1,39,3,4,4,4,4,2,2,24937.11,15583.68,2543.47,2543.47
102343320,1,1008,3,2,1,65,3,2,2,1,1,2,1,42761.03,391.3,0,0
102343321,1,1008,3,2,1,67,1,3,3,2,2,2,2,54496.63,15554.34,15554.34,15554.34
102343322,1,1008,3,3,2,60,3,2,2,2,2,2,2,26043.17,20753.01,20753.01,14086.94
102343324,1,1008,3,2,1,44,4,6,6,6,6,6,6,128399.87,119690.2,99342.38,97385.86
102343513,1,1008,3,2,2,37,6,6,3,3,1,6,2,39876.49,33487.87,33487.87,21741.83
102343514,1,1008,3,2,2,28,4,3,1,1,1,3,1,21943.62,15260.86,15260.86,15260.86
102343515,1,1008,3,1,1,57,8,1,1,1,1,1,1,29710.6,23434.22,23434.22,20308.69
102343516,1,1008,3,3,2,39,4,5,5,5,3,5,3,42206.23,24901.61,18694.55,16914.12
102343517,1,1008,3,2,2,48,8,5,4,4,2,3,2,54815.58,36227.06,36227.06,34043.46
102343518,1,1008,3,3,2,49,6,9,5,5,3,7,4,60010.17,45188.31,24802.34,21472.8
102343701,1,1008,3,1,1,71,3,1,1,0,1,1,1,28850.23,19180.31,2950.81,2950.81
102343702,1,1008,3,2,1,40,6,4,3,3,2,3,2,43091.03,36396.2,15888.02,13573.76
102343703,1,1008,3,2,1,40,6,5,4,4,4,4,4,62947.37,55278.65,35754.07,35754.07
102343704,1,1008,3,2,1,54,4,2,2,2,2,2,2,76265.64,17790.97,13524.58,12786.88
102343705,1,1008,3,2,1,47,6,6,5,5,3,1,1,44574.25,30688.52,0,0
102343706,1,1008,3,2,1,39,6,4,2,2,2,3,2,48353.76,41810.35,41810.35,39098.35
102362007,1,1010,3,3,1,43,6,7,5,5,2,3,2,45692.34,19076.08,19076.08,19076.08
102362008,1,1010,3,2,1,40,4,5,4,4,2,2,2,55978.72,50140.72,50140.72,40499.99
102362009,1,1010,3,2,1,25,7,4,2,2,2,2,2,28337.96,16434.77,16434.77,16434.77
102362010,1,1010,3,1,1,34,6,1,1,1,1,1,1,48695.51,39878.06,39878.06,27880.43
102362011,1,1010,3,2,1,40,6,4,3,3,2,2,2,42173.36,30913.02,30913.02,23478.25
102362012,1,1010,3,2,1,47,4,3,3,3,2,3,2,16452.11,12326.07,12326.07,12326.07
102362401,1,1010,3,2,1,44,6,5,4,4,2,3,2,36375.89,22133.13,22133.13,17608.68
102362402,1,1010,3,3,1,45,3,3,3,2,3,3,3,23938.16,18947.06,16288.16,14673.91
102362403,1,1010,3,3,1,54,6,5,4,4,1,2,1,99217.49,28529.01,0,0
102362404,1,1010,3,2,1,53,6,2,2,2,1,1,1,25669.16,20054.34,20054.34,20054.34
102362405,1,1010,3,2,1,24,6,3,2,2,1,1,1,62809.48,55379.34,55379.34,55379.34
102362406,1,1010,3,2,1,38,3,2,2,2,1,1,1,32662.46,29347.82,29347.82,22891.3
102362613,1,1010,3,2,2,38,4,3,3,3,1,1,1,13012.67,10012.67,10012.67,7475.4
102362614,1,1010,3,2,1,32,10,4,2,2,2,4,2,54594.69,42903.99,42903.99,37229.5
102362615,1,1010,3,2,1,27,6,4,2,2,2,3,2,25882.94,20743.58,19115.72,13265.4
102362616,1,1010,3,2,1,32,8,4,2,2,2,4,2,28953.77,19980.98,16691.8,16691.8
102362617,1,1010,3,2,1,42,4,5,4,4,1,1,1,34361.19,27396.94,642.85,0
102362618,1,1010,3,2,1,34,6,4,2,2,1,1,1,35504.6,31967.21,31967.21,31967.21
102362719,1,1010,3,2,2,26,8,3,1,1,1,3,1,19062.87,5311.47,5311.47,5311.47
102362720,1,1010,3,2,1,36,6,3,2,2,1,2,1,45861.55,39376.56,39376.56,25573.77
102362721,1,1010,3,2,2,44,8,2,2,2,1,2,1,58009.23,32377.86,0,0
102362722,1,1010,3,2,2,40,3,3,1,1,0,1,0,29154.75,0,0,0
102362723,1,1010,3,2,1,32,6,3,2,2,2,2,2,33087.09,25244.25,15344.26,15344.26
102362724,1,1010,3,2,1,39,4,5,4,4,2,3,2,21847.02,15024.57,3959.01,3836.06
160006213,1,1001,4,3,1,46,6,6,5,5,3,3,3,30721.08,18904.95,17005.51,15712.7
160006214,1,1001,4,1,2,61,4,1,1,1,0,1,0,9724.99,0,0,0
160006215,1,1001,4,1,1,46,6,1,1,1,1,1,1,15423.77,5121.54,0,0
160006216,1,1001,4,2,1,83,3,2,2,0,1,2,1,161709.76,135301.32,0,0
160006217,1,1001,4,2,1,47,6,4,4,4,3,3,3,58216.6,51124.44,51124.44,38685.07
160006218,1,1001,4,2,1,43,6,4,4,4,1,1,1,53262.14,44552.47,44552.47,35801.1
160006519,1,1001,4,2,1,22,7,3,2,2,1,1,1,33047.54,30320.59,30320.59,14086.95
160006520,1,1001,4,2,1,42,6,5,3,3,2,2,2,83494.51,71881.61,56719.55,26970.65
160006521,1,1001,4,3,1,49,6,8,4,4,2,2,2,50547.17,43786.85,43786.85,29592.38
160006522,1,1001,4,2,1,43,6,5,5,5,4,4,4,125498.89,102149.92,102149.92,77624.98
160006523,1,1001,4,3,1,56,6,5,4,4,4,4,4,122802.77,108838.28,107860.02,58108.68
160006524,1,1001,4,3,2,86,3,7,7,5,2,2,2,41167.24,36978.31,22618.42,13206.52
160006601,1,1001,4,4,1,88,1,13,7,6,4,7,4,191155.28,166491.37,166491.37,124524.57
160006602,1,1001,4,2,1,33,10,5,2,2,2,2,2,171735.21,61770.46,43081.94,36590.15
160006603,1,1001,4,3,1,51,4,8,6,6,5,6,5,136969.8,132241.47,132241.47,65704.89
160006604,1,1001,4,2,1,35,10,3,2,2,1,1,1,81528.62,81528.62,81528.62,67868.85
160006605,1,1001,4,1,1,57,4,1,1,1,1,1,1,35722.44,0,0,0
160006606,1,1001,4,2,2,50,4,5,4,4,1,5,1,84885.2,25327.86,25327.86,23606.55
160006707,1,1001,4,2,1,69,3,3,3,1,3,3,3,127928.69,117078.11,74586.32,61377.04
160006708,1,1001,4,2,1,37,6,5,3,3,1,1,1,52083.85,48183.85,48183.85,24786.88
160006709,1,1001,4,3,1,25,6,4,3,2,1,2,1,54159.81,43463.09,43463.09,35409.83
160006710,1,1001,4,2,1,40,6,5,4,4,1,2,1,26222.93,22131.13,22131.13,20655.73
160006711,1,1001,4,2,1,60,4,4,4,4,3,3,3,46770.45,40770.45,35311.44,28327.85
160014301,1,1001,4,2,1,65,1,3,3,2,2,3,2,32518.12,22402.16,22402.16,22010.86
160014302,1,1001,4,2,2,59,1,3,3,3,3,3,3,66432.38,61246.03,61246.03,52923.89
160014303,1,1001,4,3,1,37,6,3,3,3,2,3,2,145553.71,120377.73,120377.73,96847.82
160014304,1,1001,4,2,1,28,6,3,2,2,1,1,1,28439.13,20778.8,20778.8,14673.91
160014305,1,1001,4,2,1,40,5,5,3,3,2,2,2,51693.64,48790.42,48790.42,38739.11
160014306,1,1001,4,3,1,25,6,7,4,4,2,4,2,53336.04,44608.68,35217.38,35217.38
160014419,1,1001,4,2,2,42,6,3,3,3,3,3,3,39774.95,38323.34,38323.34,37467.37
160014420,1,1001,4,3,1,61,6,4,4,3,2,3,2,37850.46,29034.77,15260.86,15260.86
160014421,1,1001,4,2,1,40,6,3,2,2,1,1,1,34216.22,29861.39,29861.39,21423.91
160014422,1,1001,4,3,1,42,4,7,6,6,3,3,3,46664.59,41918.46,41918.46,41673.9
160014423,1,1001,4,2,1,43,6,5,2,2,1,1,1,22795.04,18440.21,18440.21,18195.65
160014424,1,1001,4,2,1,27,6,4,2,2,2,2,2,30425.47,26070.64,21668.47,19956.52
160014813,1,1001,4,2,1,70,3,2,2,1,0,2,0,24885.15,0,0,0
160014814,1,1001,4,2,2,37,6,3,3,3,0,1,0,14831.96,1928.55,1928.55,0
160014815,1,1001,4,2,1,51,4,4,4,4,3,4,3,29150.6,22180.31,10672.12,10573.76
160014816,1,1001,4,2,1,36,6,4,3,3,2,2,2,56598.28,51971.12,51971.12,29409.83
160014817,1,1001,4,2,1,46,3,6,5,5,2,4,2,108944.59,99880.31,51491.79,40918.03
160014818,1,1001,4,3,1,44,4,7,5,5,2,3,2,49787.42,45437.68,45437.68,43475.4
160014907,1,1001,4,3,2,43,6,5,4,4,4,4,4,43598.37,39198.42,36884.84,29347.81
160014908,1,1001,4,2,1,35,6,5,3,3,2,2,2,45538.15,41183.32,37270.28,22010.86
160014910,1,1001,4,2,1,38,6,4,3,3,2,2,2,38258.65,36807.04,36807.04,31426.62
160014911,1,1001,4,1,1,54,3,1,1,1,1,1,1,35074.73,32752.15,32752.15,31793.47
160014911,2,1001,4,2,1,20,5,3,2,2,1,1,1,21888.38,20543.46,20543.46,17999.99
160014912,1,1001,4,3,1,69,1,6,4,3,3,3,3,43604.8,40556.42,40556.42,39961.94
160019001,1,1001,4,2,1,31,9,6,3,3,2,2,2,32802.68,25175.52,25175.52,20543.47
160019002,1,1001,4,2,2,45,6,2,2,2,2,2,2,22998.87,19565.2,19565.2,19565.2
160019003,1,1001,4,2,1,39,6,4,2,2,2,4,2,72477.78,66179.33,15260.86,15260.86
160019005,1,1001,4,3,2,45,3,6,4,4,2,5,2,44167.92,33128,33128,27342.38
160019006,1,1001,4,2,2,39,4,2,2,2,2,2,2,17263.96,14360.74,14360.74,8960.86
